sale_date,atc_category,medicine_name,sales_amount
2023-01-01,Cardiovascular,Atorvastatin,1259.05
2023-01-01,Antibiotics,Azithromycin,2022.94
2023-01-01,Analgesics,Aspirin,1020.68
2023-01-02,Cardiovascular,Losartan,886.97
2023-01-02,Antibiotics,Amoxicillin,1704.72
2023-01-02,Analgesics,Paracetamol,929.64
2023-01-03,Cardiovascular,Losartan,576.35
2023-01-03,Antibiotics,Ciprofloxacin,1945.19
2023-01-03,Analgesics,Ibuprofen,1512.5
2023-01-04,Cardiovascular,Losartan,898.16
2023-01-04,Antibiotics,Ciprofloxacin,1629.14
2023-01-04,Analgesics,Paracetamol,2367.85
2023-01-05,Cardiovascular,Atorvastatin,1305.44
2023-01-05,Antibiotics,Amoxicillin,1078.71
2023-01-05,Analgesics,Aspirin,2231.68
2023-01-06,Cardiovascular,Amlodipine,733.78
2023-01-06,Antibiotics,Azithromycin,712.59
2023-01-06,Analgesics,Aspirin,2390.24
2023-01-07,Cardiovascular,Losartan,842.09
2023-01-07,Antibiotics,Azithromycin,2302.29
2023-01-07,Analgesics,Aspirin,1561.92
2023-01-08,Cardiovascular,Losartan,1539.2
2023-01-08,Antibiotics,Amoxicillin,1092.56
2023-01-08,Analgesics,Ibuprofen,1880.07
2023-01-09,Cardiovascular,Amlodipine,1218.56
2023-01-09,Antibiotics,Amoxicillin,1716.56
2023-01-09,Analgesics,Ibuprofen,1876.32
2023-01-10,Cardiovascular,Losartan,950.54
2023-01-10,Antibiotics,Azithromycin,1060.95
2023-01-10,Analgesics,Aspirin,1656.12
2023-01-11,Cardiovascular,Losartan,954.9
2023-01-11,Antibiotics,Amoxicillin,1682.66
2023-01-11,Analgesics,Ibuprofen,825.78
2023-01-12,Cardiovascular,Amlodipine,545.28
2023-01-12,Antibiotics,Amoxicillin,1057.02
2023-01-12,Analgesics,Paracetamol,528.47
2023-01-13,Cardiovascular,Losartan,1806.11
2023-01-13,Antibiotics,Ciprofloxacin,1455.12
2023-01-13,Analgesics,Ibuprofen,1046.02
2023-01-14,Cardiovascular,Losartan,2035.39
2023-01-14,Antibiotics,Amoxicillin,2198.23
2023-01-14,Analgesics,Ibuprofen,2121.57
2023-01-15,Cardiovascular,Amlodipine,936.43
2023-01-15,Antibiotics,Ciprofloxacin,1297.01
2023-01-15,Analgesics,Aspirin,1648.78
2023-01-16,Cardiovascular,Losartan,1510.25
2023-01-16,Antibiotics,Azithromycin,895.08
2023-01-16,Analgesics,Paracetamol,1685.39
2023-01-17,Cardiovascular,Losartan,2211.07
2023-01-17,Antibiotics,Amoxicillin,747.53
2023-01-17,Analgesics,Ibuprofen,1011.58
2023-01-18,Cardiovascular,Losartan,1039.96
2023-01-18,Antibiotics,Azithromycin,1520.63
2023-01-18,Analgesics,Aspirin,2126.05
2023-01-19,Cardiovascular,Amlodipine,1289.37
2023-01-19,Antibiotics,Amoxicillin,1323.98
2023-01-19,Analgesics,Paracetamol,2475.72
2023-01-20,Cardiovascular,Amlodipine,592.71
2023-01-20,Antibiotics,Azithromycin,1425.1
2023-01-20,Analgesics,Ibuprofen,1451.7
2023-01-21,Cardiovascular,Atorvastatin,819.37
2023-01-21,Antibiotics,Azithromycin,2445.52
2023-01-21,Analgesics,Ibuprofen,1641.62
2023-01-22,Cardiovascular,Amlodipine,1041.64
2023-01-22,Antibiotics,Ciprofloxacin,1644.06
2023-01-22,Analgesics,Paracetamol,2080.86
2023-01-23,Cardiovascular,Amlodipine,1030.09
2023-01-23,Antibiotics,Ciprofloxacin,2418.5
2023-01-23,Analgesics,Ibuprofen,1781.03
2023-01-24,Cardiovascular,Losartan,600.54
2023-01-24,Antibiotics,Amoxicillin,2409.28
2023-01-24,Analgesics,Ibuprofen,2362.5
2023-01-25,Cardiovascular,Atorvastatin,1661.47
2023-01-25,Antibiotics,Amoxicillin,1772.64
2023-01-25,Analgesics,Ibuprofen,590.48
